id,identifier,name,course_type,credit,period,instructor,college,major,note
85687,20191060842,国防生军训教官代教实践,,1,0,郑军,军官选拔办公室,,
85686,20191003425,数字营销前沿研究-腾讯互娱市场体系实战解析,,1,0,洪杰文,新闻与传播学院,,
85685,20191027004,生物药剂学与药物动力学,,2,0,项瑾,药学院,,
85684,20191024038,实用测绘技术,,2,0,花向红,测绘学院,,
85683,20191024020,变形监测数据处理,,2,0,黄声享,测绘学院,,
85682,20191010374,拓扑学,,4,0,徐栩,数学与统计学院,,
85681,20191011781,综合实验,,1,0,王取泉,物理科学与技术学院,,
85680,20191018076,节能减排科技实践,,2,0,曾洪涛,动力与机械学院,,
85679,20191039785,伦理与职业态度,,1,0,万静,第二临床学院,,
85678,sq20182039002,临床技能学1,,3,0,万静,第二临床学院,,
85677,20191024069,卫星测图基础,,2,0,朱惠萍,测绘学院,,
85676,20191022116,电气控制与PLC,,3,0,王刚,电子信息学院,,
85675,20183013023,人类遗传学,专业教育选修,2,32,谢志雄,生命科学学院,生态学,国际课程+1、Alfred Cheng Sze-Lok 2、Wei Liu 3、Di Yu
85674,20191021014,人工智能,,2,0,谢榕,计算机学院,,
85673,20191016393,灌溉排水工程计算软件应用,,1.5,0,王康,水利水电学院,,
85672,20191011772,综合实验,,1,0,王建波,物理科学与技术学院,,
85671,20191011785,综合实验,,1,0,何春清,物理科学与技术学院,,
85670,20191013047,病毒技术实验,,1.5,0,邬开朗,生命科学学院,,
85669,20191013043,进化生物学,,3,0,赵华斌,生命科学学院,,
85668,20191024026,近景摄影测量,,2,0,詹总谦,测绘学院,,
85667,20191024018,不动产测量与管理,,1,0,康雄华,测绘学院,,
85666,20191014089,环境工程施工与监理,,2,0,王旭,资源与环境科学学院,,
85665,20191014074,大气环境化学,,2,0,成海容,资源与环境科学学院,,
85664,20191014022,工业废水处理,,2,0,张道斌,资源与环境科学学院,,
85663,20191005208,高级时间序列分析,,3,0,张定胜,经济与管理学院,,
85662,20191020024,国际贸易（双语）,,1.5,0,刘杏红,土木建筑工程学院,,
85661,20191011765,综合实验,,1,0,陈万平,物理科学与技术学院,,
85660,20191026762,卫生法规,,1,0,张飚,口腔医学院,,
85659,20191012108,综合化学实验,,4,0,钟振林,化学与分子科学学院,,
85658,20191066847,护理生涯规划II,,1,0,张青,健康学院,,
85657,20191038781,伦理与职业态度,,1,0,董卫国,第一临床学院,,
85656,20191024045,位置服务技术与应用,,2,0,张守建,测绘学院,,
85655,20191014040,粉煤灰性能与利用,,2,0,周?,资源与环境科学学院,,
85654,20191003090,实践中的马克思主义新闻观,专业选修,2,0,单波,新闻与传播学院,,
85653,20191010516,现代数学选讲,,2,0,陈化,数学与统计学院,,
85652,20191016392,工程概预算及招投标,,1,0,王康,水利水电学院,,
85651,20191038783,伦理与职业态度,,1,0,董卫国,第一临床学院,,
85650,20191002990,法语应用文,,2,0,法语外教M,外国语言文学学院,,
85649,20191016808,水利水电工程施工,,2,0,施玉群,水利水电学院,,
85648,20191016023,河流模拟课程设计,,0.5,0,孙昭华,水利水电学院,,
85647,20191016821,专业外语,,1.5,0,郑珊,水利水电学院,,
85646,ck20182002543,笔译基础,,3,0,江承志,外国语言文学学院,,
85645,ck20182002015,综合英语（2）,,6,0,江承志,外国语言文学学院,,
85644,20191014107,土地整理规划与设计课程设计,,0.5,0,张金亭,资源与环境科学学院,,
85643,20191014015,土地利用规划课程设计,,2,0,耿红,资源与环境科学学院,,
85642,20191014090,土地信息分析与建模,,2,0,焦利民,资源与环境科学学院,,
85641,20191017057,高电压试验技术,,1.5,0,曾福平,电气与自动化学院,,
85640,20191011776,综合实验,专业必修,1,0,张东,物理科学与技术学院,,
85639,20191011773,综合实验,,1,0,郑赫,物理科学与技术学院,,
85638,20191016024,河流模拟课程设计,,0.5,0,卢新华,水利水电学院,,
85637,20191016377,水资源规划与管理,,2,0,马勇,水利水电学院,,
85636,20191012105,综合化学实验,,4,0,谢敏,化学与分子科学学院,,
85635,20191018070,氢能开发与利用,,2,0,杜富滢,动力与机械学院,,
85634,20191066848,社区护理实习,,4,0,孟宪梅,健康学院,,
85633,20191066846,社区护理,,2,0,孟宪梅,健康学院,,
85632,20191014041,空间数据库原理,,2,0,万幼,资源与环境科学学院,,
85631,20191014027,面向对象的程序设计,,2,0,游涟,资源与环境科学学院,,
85630,20191017059,特高压交直流输变电技术,,1.5,0,王力农,电气与自动化学院,,
85629,20191002292,法语商务口译（创）,,3,0,苏?,外国语言文学学院,,
85628,20191018106,燃烧技术,,1.5,0,金振齐,动力与机械学院,,
85627,ck20182002018,英语视听说（2）,,3,0,江承志,外国语言文学学院,,
85626,ck20182002017,综合英语（1）,,6,0,江承志,外国语言文学学院,,
85625,20191024072,地球物理学进展,,2,0,罗纲,测绘学院,,
85624,20191011767,综合实验,,1,0,刘启明,物理科学与技术学院,,
85623,ck20182002005,口语技能与实践,,3,0,杨铖,外国语言文学学院,,
85622,ck20182002004,中级法语（1）,,6,0,杨铖,外国语言文学学院,,
85621,ck20182002003,法语视听说（中）,,4,0,杨铖,外国语言文学学院,,
85620,20191016383,气象与气候学,,2,0,Kim Jong Suk,水利水电学院,,
85619,20191016449,工程项目管理,,3,0,刘全,水利水电学院,,
85618,20191016448,水利水电工程施工课程设计,,1,0,严鹏,水利水电学院,,
85617,20191016884,水利水电工程施工,,3,0,杨磊,水利水电学院,,
85616,20191014045,定量遥感,,2,0,陈奕云,资源与环境科学学院,,
85615,20191014054,土地利用规划,,2,0,耿红,资源与环境科学学院,,
85614,20191014048,资源环境信息系统,,2,0,代侦勇,资源与环境科学学院,,
85613,20191014112,资源环境遥感监测实习,,2,0,陈奕云,资源与环境科学学院,,
85612,20191014042,空间数据库原理,,2,0,万幼,资源与环境科学学院,,
85611,20191014028,面向对象的程序设计,,2,0,游涟,资源与环境科学学院,,
85610,20191017617,电力节能技术,,1.5,0,袁荣湘,电气与自动化学院,,
85609,20191076821,水利工程经济课程设计,,0.5,0,万飚,水利水电学院,,
85608,20191021016,云计算与云存储,,2,0,冯晶,计算机学院,,
85607,20191021012,虚拟现实技术,,2,0,苏科华,计算机学院,,
85606,20191021018,存储技术,,2,0,邹华,计算机学院,,
85605,20191031010,佛典与汉语,,2,0,韩小荆,文学院,,
85604,20191020030,工程成本规划与控制课程设计（管理）,,0.5,0,陈悦华,土木建筑工程学院,,
85603,20191020028,工程成本规划与控制,,2,0,陈悦华,土木建筑工程学院,,
85602,20191016447,现代水利水电施工技术,,1.5,0,陈明,水利水电学院,,
85601,20191016703,水电站输水系统设计,,1.5,0,赖旭,水利水电学院,,
85600,20191016691,水利水电工程专业软件,,1.5,0,徐明毅,水利水电学院,,
85599,20191016689,水工结构可靠度和抗震理论,,1.5,0,赖国伟,水利水电学院,,
85598,20191016687,道路桥梁工程,,1,0,佘成学,水利水电学院,,
85597,20191024074,海洋工程测量,,2,0,暴景阳,测绘学院,,
85596,20191014153,地籍测量,,2,0,詹长根,资源与环境科学学院,,
85595,20191011769,综合实验,,1,0,任峰,物理科学与技术学院,,
85594,20191020135,结构检测与加固,,2,0,刘小明,土木建筑工程学院,,
85593,20191020069,钢-混凝土组合结构,,1.5,0,余敏,土木建筑工程学院,,
85592,20191018121,焊接结构可靠性,,2,0,张建强,动力与机械学院,,
85591,20191018120,锅炉压力容器监督,,1.5,0,张俊,动力与机械学院,,
85590,20191018071,生物质能源化学,,2,0,定明月,动力与机械学院,,
85589,20191018072,能源化工工艺学,,2,0,曾玉彬,动力与机械学院,,
85588,20191018068,废水回用技术,,2,0,刘通,动力与机械学院,,
85587,20191101819,形势与政策3,,0.5,0,方萍,形势与政策教育中心,,
85586,20191017095,电力系统过电压,,2,0,陶劲松,电气与自动化学院,,
85585,20191019013,室内设计,,2,0,林丰,城市设计学院,,
85584,20191067072,生物医学前沿技术,,2,0,梁凯威,基础医学院,,
85583,20191067073,转化医学,,1,0,陈效,基础医学院,,
85582,20191067014,学术与研究1,,2,0,乐江,基础医学院,,
85581,20191066003,卫生学,,2,0,王素青,健康学院,,
85580,20191067009,实验动物学,,1.5,0,李红良,基础医学院,,
85579,20191038809,内科学,,3,0,江洪,第一临床学院,,
85578,20191038810,外科学,,3,0,刘修恒,第一临床学院,,
85577,20191039003,妇产科学,,2,0,张元珍,第二临床学院,,
85576,20191039002,儿科学,,2,0,赵东赤,第二临床学院,,
85575,20191039045,中医中药概论,,1.5,0,张莹雯,第二临床学院,,
85574,20191026869,PBL训练（上）,,1.5,0,李青,口腔医学院,,
85573,20191026814,口腔材料学,,2,0,李志安,口腔医学院,,
85572,20191016389,移民规划,,1,0,邱元锋,水利水电学院,,
85571,20191016376,水环境与水生态,,1.5,0,常剑波,水利水电学院,,
85570,20191011777,综合实验,,1,0,吴奕初,物理科学与技术学院,,
85569,20191011778,综合实验,,1,0,刘海林,物理科学与技术学院,,
85568,20191016445,现代水利水电施工技术,,1.5,0,曹生荣,水利水电学院,,
85567,20191016702,水电站输水系统设计,,1.5,0,赖旭,水利水电学院,,
85566,20191016690,水利水电工程专业软件,,1.5,0,徐明毅,水利水电学院,,
85565,20191016688,水工结构可靠度和抗震理论,,1.5,0,赖国伟,水利水电学院,,
85564,20191016685,道路桥梁工程,,1,0,佘成学,水利水电学院,,
85563,20191020045,路桥试验与检测,,1.5,0,尹涛,土木建筑工程学院,,
85562,20191020043,桥梁结构II,,2,0,万臻,土木建筑工程学院,,
85561,20191020042,隧道工程,,1.5,0,吴志军,土木建筑工程学院,,
85560,20191017706,高电压综合试验与实践（2）,,0.5,0,袁佳歆,电气与自动化学院,,
85559,20191017705,电力系统继电保护与自动化综合实验（2）,,0.5,0,丁涛,电气与自动化学院,,
85558,20191017703,电力系统分析综合实验（2）,,0.5,0,彭晓涛,电气与自动化学院,,
85557,20191017772,电力系统运行与调度,,2,0,彭晓涛,电气与自动化学院,,
85556,20191016306,移民规划,,1,0,邱元锋,水利水电学院,,
85555,20191011782,综合实验,,1,0,刘威,物理科学与技术学院,,
85554,20191017063,高电压综合试验与实践（2）,,0.5,0,王羽,电气与自动化学院,,
85553,20191020026,国际工程承包,,1.5,0,孔文涛,土木建筑工程学院,,
85552,20191002001,外交与官方场合法语词汇与句型,,2,0,王战,外国语言文学学院,,
85551,20191002989,法汉互译,,2,0,赵鸣,外国语言文学学院,,
85550,20191002986,法国文学史（下）,,2,0,张亘,外国语言文学学院,,
85549,20191002985,高级法语,,4,0,杜青钢,外国语言文学学院,,
85548,20191003127,CI策划与设计,,2,0,陈瑛,新闻与传播学院,,
85547,20191017637,电气工程进展,,1,0,林涛,电气与自动化学院,,
85546,20191024025,近景摄影测量,,2,0,詹总谦,测绘学院,,
85545,20191035047,显示材料与技术,,2,0,吴伟,印刷与包装系,,
85544,20191035026,数字化工作流程实习,,1,0,孙红光,印刷与包装系,,
85543,20191035025,色彩管理课程设计,,1,0,张霞,印刷与包装系,,
85542,20191035005,色彩管理,,1,0,张霞,印刷与包装系,,
85541,20191014044,定量遥感,,2,0,陈奕云,资源与环境科学学院,,
85540,20191014053,土地利用规划,,2,0,耿红,资源与环境科学学院,,
85539,20191014111,资源环境遥感监测实习,,2,0,陈奕云,资源与环境科学学院,,
85538,20191014047,资源环境信息系统,,2,0,代侦勇,资源与环境科学学院,,
85537,20191002040,德语报刊阅读,,2,0,徐琼星,外国语言文学学院,,
85536,20191011780,综合实验,,1,0,王取泉,物理科学与技术学院,,
85535,20191020040,城市地下空间规划,,1.5,0,吴月秀,土木建筑工程学院,,
85534,20191020093,土木工程结构试验,,1.5,0,李杉,土木建筑工程学院,,
85533,20191066844,护理生涯规划II,,1,0,张青,健康学院,,
85532,20191021015,动画与游戏制作,,2,0,宋成芳,计算机学院,,
85531,20191003429,数字营销前沿研究-腾讯互娱市场体系实战解析,,1,0,洪杰文,新闻与传播学院,,
85530,20191016825,生产实习,,1,0,夏军强,水利水电学院,,
85529,20191016822,河流工程应用程序,,2,0,余明辉,水利水电学院,,
85528,20191016820,河流管理学,,2,0,谈广鸣,水利水电学院,,
85527,20191017064,高电压综合试验与实践（2）,,0.5,0,王建国,电气与自动化学院,,
85526,20191020041,隧道工程,,1.5,0,王书法,土木建筑工程学院,,
85525,20191017061,高电压综合试验与实践（2）,,0.5,0,蔡力,电气与自动化学院,,
85524,20191016446,水利水电工程管理,,3,0,何金平,水利水电学院,,
85523,20191016697,新能源开发与利用,,1,0,李进平,水利水电学院,,
85522,20191016403,移民规划,,1,0,邱元锋,水利水电学院,,
85521,20191016381,水环境与水生态,,1.5,0,常剑波,水利水电学院,,
85520,20191029230,出土文献与民间文献通论（二）,,2,0,黄楼,历史学院,,
85519,20191033459,学年论文,,2,0,沈庭,哲学学院,,
85518,20191011783,综合实验,,1,0,何春清,物理科学与技术学院,,
85517,20191061444,课堂实习,,5,0,郁之虹,社会学系,,
85516,20191061443,见习,,2,0,陈?,社会学系,,
85515,20191061442,综合实习,,7,0,梅红,社会学系,,
85514,20191029932,GIS应用,,2,0,王少华,历史学院,,
85513,20191011779,综合实验,,1,0,杨智慧,物理科学与技术学院,,
85512,20191016828,泵站辅助设备及计算机监控,,1.5,0,宋元胜,水利水电学院,,
85511,20191022093,数字图像处理,,3,0,何楚,电子信息学院,,
85510,20191029242,社会实践,,2,0,牟伦海,历史学院,,
85509,20191029225,中国史学文献检索与利用,,2,0,姜望来,历史学院,,
85508,20191003423,数字营销前沿研究-腾讯互娱市场体系实战解析,,1,0,洪杰文,新闻与传播学院,,
85507,20191031050,明清诗文专题,,2,0,陈水云,文学院,,
85506,20191031047,红楼梦研究,,2,0,陈文新,文学院,,
85505,20191038018,临床儿科学,,2.5,0,黄星原,第一临床学院,,
85504,20191038011,临床妇产科学,,2.5,0,杨菁,第一临床学院,,
85503,20191038004,临床外科学,,3.5,0,刘修恒,第一临床学院,,
85502,20191014073,环境管理学,,2,0,章玲,资源与环境科学学院,,
85501,20191020136,结构检测与加固,,2,0,刘小明,土木建筑工程学院,,
85500,20191020070,钢-混凝土组合结构,,1.5,0,余敏,土木建筑工程学院,,
85499,20191004187,毕业实习,,4,0,翁子扬,信息管理学院,,
85498,20191012107,综合化学实验,,4,0,贺枫,化学与分子科学学院,,
85497,20191035007,金属材料与加工,,2,0,刘传胜,印刷与包装系,,
85496,20191035006,印刷光电材料技术,,2,0,钱俊,印刷与包装系,,
85495,20191035027,特种印刷,,2,0,程红炬,印刷与包装系,,
85494,20183035004,毕业实习,专业教育必修,2,0,尹恩强,印刷与包装系,包装工程,
85493,20191020022,管理学,,2,0,朱红章,土木建筑工程学院,,
85492,20191020148,社会实践,,1,0,余娟,土木建筑工程学院,,
85491,20191020068,创新项目,,2,0,杜新喜,土木建筑工程学院,,
85490,20191024019,变形监测数据处理,,2,0,黄声享,测绘学院,,
85489,20191024014,测绘工程监理学,,2,0,蒋征,测绘学院,,
85488,20191014453,WebGIS原理与方法,,2,0,艾松涛,资源与环境科学学院,,
85487,20191024079,遥感实习,,1.5,0,李妍,测绘学院,,
85486,20191024062,UNIX/LINUX操作系统,,2,0,李大炜,测绘学院,,
85485,20191019078,建筑设计（9）,,3,0,李?,城市设计学院,,
85484,20191019056,城市规划管理信息系统,,2,0,肖映辉,城市设计学院,,
85483,20191019055,城市综合防灾规划,,2,0,周俊,城市设计学院,,
85482,20191019054,城市土地利用与综合开发,,2,0,江敬东,城市设计学院,,
85481,20191019022,区域规划,,2,0,杜宁睿,城市设计学院,,
85480,20191019016,城乡规划管理与法规,,2,0,徐轩轩,城市设计学院,,
85479,20191019057,城市总体规划设计,,3,0,彭建东,城市设计学院,,
85478,20191065003,科研训练2,,1,0,石兢,弘毅学堂,,
85477,20191019052,专题论文写作,,1,0,王莉莉,城市设计学院,,
85476,20191019028,视觉传达设计,,2,0,王欣,城市设计学院,,
85475,20191019050,产品概念设计,,3,0,邓俊,城市设计学院,,
85474,ck20182002776,英语词汇学,,2,0,左广明,外国语言文学学院,,
85473,20191024044,位置服务技术与应用,,2,0,张守建,测绘学院,,
85472,20191024012,城市经济学,,2,0,康雄华,测绘学院,,
85471,20191024001,专业英语,,2,0,尹晖,测绘学院,,
85470,20191023759,遥感应用综合实习,,1.5,0,李刚,遥感信息工程学院,,
85469,20191018118,燃气－蒸汽联合循环,,1.5,0,刘先斐,动力与机械学院,,
85468,20191018107,专业文献科技导读,,2,0,金振齐,动力与机械学院,,
85467,20183027317,药剂学,专业教育必修,3,48,田间,药学院,药学,重修班
85466,20191012106,综合化学实验,,4,0,谢敏,化学与分子科学学院,,
85465,20191004190,毕业实习,,4,0,洪亮,信息管理学院,,
85464,20191017681,配电网运行与分析,,1.5,0,乔卉,电气与自动化学院,,
85463,20191022092,数字图像处理,,3,0,颜佳,电子信息学院,,
85462,20191022077,光电测量仪器,,3,0,杨晋陵,电子信息学院,,
85461,20191024089,大地形变测量学课程设计及实习,,1,0,汪建军,测绘学院,,
85460,ck20182002006,德语视听说（2）,,4,0,徐琼星,外国语言文学学院,,
85459,20191003128,数字媒介营销,,2,0,李小曼,新闻与传播学院,,
85458,20182003119,媒介研究方法,,3,0,吴世文,新闻与传播学院,,
85457,20191027006,发酵工程,,2,0,曾晓波,药学院,,
85456,20191027035,发酵工程实验,,1,0,曾晓波,药学院,,
85455,20191018056,工程机械设计,,2,0,何小新,动力与机械学院,,
85454,20191018057,起重运输机械,,2,0,吴镇,动力与机械学院,,
85453,20191026367,PBL训练（上）,,1.5,0,吴添福,口腔医学院,,
85452,20191029931,古陶瓷工艺学,,2,0,李清临,历史学院,,
85451,20191029406,考古学史,,2,0,李英华,历史学院,,
85450,20191019011,城市设计,,3,0,程世丹,城市设计学院,,
85449,20191038048,医学影像学,,3,0,查云飞,第一临床学院,,
85448,20191038035,临床病理、病理生理学及治疗学2,,5,0,丁国华,第一临床学院,,
85447,20191038028,临床病理、病理生理学及治疗学1,,5,0,胡苏萍,第一临床学院,,
85446,20191020020,工程概预算课程设计,,0.5,0,杨海红,土木建筑工程学院,,
85445,20191020017,工程概预算,,1.5,0,杨海红,土木建筑工程学院,,
85444,20191038016,临床儿科学,,2.5,0,黄星原,第一临床学院,,
85443,20191038009,临床妇产科学,,2.5,0,杨菁,第一临床学院,,
85442,20191038002,临床外科学,,3.5,0,刘修恒,第一临床学院,,
85441,20191029227,学年论文(3),,1,0,王萌,历史学院,,
85440,20191018062,机械结构有限元分析,,2,0,胡国明,动力与机械学院,,
85439,20191018060,机电液一体化系统设计,,2,0,周圣军,动力与机械学院,,
85438,20191018061,机械创新设计,,2,0,王晓笋,动力与机械学院,,
85437,20191026348,儿童口腔医学,,1,0,宋光泰,口腔医学院,,
85436,20191026345,牙体牙髓病学实验,,1.5,0,孟柳燕,口腔医学院,,
85435,20191026341,牙体牙髓病学,,1,0,孟柳燕,口腔医学院,,
85434,20191026856,口腔颌面外科学实验（上）,,0.5,0,李健,口腔医学院,,
85433,20191026868,PBL训练（上）,,1.5,0,李春芳,口腔医学院,,
85432,20191026862,口腔组织病理学实验（上）,,0.5,0,王丽,口腔医学院,,
85431,20191026837,口腔预防医学实验（上）,,0.5,0,刘畅,口腔医学院,,
85430,20191026834,口腔预防医学（上）,,0.5,0,杜民权,口腔医学院,,
85429,20191026831,口腔修复学（上）,,1,0,黄翠,口腔医学院,,
85428,20191026828,口腔颌面外科学（上）,,1.5,0,杨学文,口腔医学院,,
85427,20191026819,口腔组织病理学（上）,,1,0,张佳莉,口腔医学院,,
85426,20191026783,口腔生物学,,2,0,贾荣,口腔医学院,,
85425,20191004189,毕业实习,,4,0,严炜炜,信息管理学院,,
85424,20191038036,精神病学,,1.5,0,王高华,第一临床学院,,
85423,20191038043,卫生法规,,1,0,万军,第一临床学院,,
85422,20191038039,急诊医学,,1,0,魏捷,第一临床学院,,
85421,20191038015,临床儿科学,,2.5,0,黄星原,第一临床学院,,
85420,20191038008,临床妇产科学,,2.5,0,杨菁,第一临床学院,,
85419,20191038001,临床外科学,,3.5,0,刘修恒,第一临床学院,,
85418,20191003129,网络数据分析基础,,2,0,何明贵,新闻与传播学院,,
85417,20191017056,高电压试验技术,,1.5,0,蔡力,电气与自动化学院,,
85416,20191032006,专业实习,,3,0,王文斌,艺术学院,,
85415,20191038017,临床儿科学,,2.5,0,黄星原,第一临床学院,,
85414,20191038010,临床妇产科学,,2.5,0,杨菁,第一临床学院,,
85413,20191038003,临床外科学,,3.5,0,刘修恒,第一临床学院,,
85412,20191038050,实验诊断学,,1.5,0,李艳,第一临床学院,,
85411,20191025017,医学英语（1）,,2,0,何春燕,医学院,,
85410,20191038034,临床病理、病理生理学及治疗学2,,5,0,丁国华,第一临床学院,,
85409,20191038027,临床病理、病理生理学及治疗学1,,5,0,胡苏萍,第一临床学院,,
85408,20191020013,给排水工程施工,,2,0,周毅,土木建筑工程学院,,
85407,20191020012,环境监测与评价,,1.5,0,刘子正,土木建筑工程学院,,
85406,20191020002,建筑暖通空调,,1.5,0,唐智,土木建筑工程学院,,
85405,20191020011,工程概预算课程设计,,0.5,0,李辉,土木建筑工程学院,,
85404,20191020010,生产实习,,1,0,黄理志,土木建筑工程学院,,
85403,20191022110,智能系统设计实践,,2,0,杨剑锋,电子信息学院,,
85402,20191017288,热工过程自动调节,专业选修,1.5,0,袁立宏,电气与自动化学院,,
85401,20191018098,专业文献科技导读,专业选修,2,0,曾洪涛,动力与机械学院,,
85400,20191018094,水力机组辅助设备,专业选修,2,0,蔡天富,动力与机械学院,,
85399,20191018100,水力机组调节,专业必修,2,0,程远楚,动力与机械学院,,
85398,20191018097,水电站与泵站自动化,专业必修,2,0,肖志怀,动力与机械学院,,
85397,20191018093,流体输送,专业选修,2,0,刘志勇,动力与机械学院,,
85396,20191018092,水力机组安装与检修,专业选修,1.5,0,符向前,动力与机械学院,,
85395,20191018095,水力机械空蚀及防护,专业选修,1.5,0,何培杰,动力与机械学院,,
85394,20191018096,水力过渡过程及水锤防护,专业选修,1.5,0,蒋劲,动力与机械学院,,
85393,20191018099,水电站与泵站监控系统,专业选修,1.5,0,陈启卷,动力与机械学院,,
85392,20191018103,水电站与泵站自动化课程设计,专业必修,1,0,肖志怀,动力与机械学院,,
85391,20191018102,水力机组调节课程设计,专业必修,0.5,0,程远楚,动力与机械学院,,
85390,20191018101,节能减排科技实践,专业选修,2,0,曾洪涛,动力与机械学院,,
85389,20191022742,电信网原理与综合实训,专业必修,4,0,邹炼,电子信息学院,,
85388,ck20182002020,英语短篇小说,专业必修,3,0,左广明,外国语言文学学院,,
85387,ck20182002016,英美概况,专业必修,3,0,左广明,外国语言文学学院,,
85386,ck20182002019,英语语法,专业必修,4,0,左广明,外国语言文学学院,,
85385,20191066843,社区护理,专业必修,2,0,余立平,健康学院,,
85384,20191066845,社区护理实习,专业必修,4,0,余立平,健康学院,,
85383,20191016772,地下水水文学,,2,0,林琳,水利水电学院,,
85382,20191023766,地理信息工程综合实习,专业必修,1.5,0,张文,遥感信息工程学院,,
85381,20191039022,卫生法规,专业选修,1,0,程虹,第二临床学院,,
85380,20191039019,急诊医学,专业必修,1,0,赵剡,第二临床学院,,
85379,20191039010,医学伦理学,专业必修,1,0,万静,第二临床学院,,
85378,20191039006,精神病学,专业必修,1.5,0,章军建,第二临床学院,,
85377,20191039044,临床外科学,专业必修,3.5,0,钱群,第二临床学院,,
85376,20191039035,临床妇产科学,专业必修,2.5,0,张元珍,第二临床学院,,
85375,20191039032,临床儿科学,专业必修,2.5,0,赵东赤,第二临床学院,,
85374,20191013045,科学研究训练,,2,0,谢志雄,生命科学学院,,
85373,20182041047,军事理论,,1,0,陆保生,军事教研室,,
85372,20191101418,形势与政策3,,0.5,0,邬明建,形势与政策教育中心,,
85371,20191101499,形势与政策3,,0.5,0,赵金利,形势与政策教育中心,,
85370,20191101753,形势与政策3,,0.5,0,张栋梁,形势与政策教育中心,,
85369,20191011766,综合实验,,1,0,方国家,物理科学与技术学院,,
85368,20191101723,形势与政策3,,0.5,0,冯丹,形势与政策教育中心,,
85367,20191013038,保护生物学,,2,0,王忠,生命科学学院,,
85366,20191010505,实用回归分析,,4,0,邓爱姣,数学与统计学院,,
85365,20191013031,生物化学实验,,1.5,0,,生命科学学院,,
85364,20191101577,形势与政策3,,0.5,0,江尧林,形势与政策教育中心,,
85363,20191013033,生物化学实验,,1.5,0,,生命科学学院,,
85362,20191013027,生物化学,,5,0,程汉华,生命科学学院,,
85361,20191101716,形势与政策3,,0.5,0,秦正保,形势与政策教育中心,,
85360,20191061856,社会保障学,,2,0,周雄兵,社会学系,,
85359,20191061571,社会工作实务（下）,,2,0,郁之虹,社会学系,,
85358,20191061440,社会工作实务（上）,,3,0,郁之虹,社会学系,,
85357,20191061434,个案工作,,3,0,郁之虹,社会学系,,
