,id,identifier,name,course_type,credit,period,instructor,college,major,note
341,85386,ck20182002019,英语语法,专业必修,4.0,0,左广明,外国语言文学学院,,
342,85385,20191066843,社区护理,专业必修,2.0,0,余立平,健康学院,,
343,85384,20191066845,社区护理实习,专业必修,4.0,0,余立平,健康学院,,
345,85382,20191023766,地理信息工程综合实习,专业必修,1.5,0,张文,遥感信息工程学院,,
346,85381,20191039022,卫生法规,专业选修,1.0,0,程虹,第二临床学院,,
347,85380,20191039019,急诊医学,专业必修,1.0,0,赵剡,第二临床学院,,
348,85379,20191039010,医学伦理学,专业必修,1.0,0,万静,第二临床学院,,
349,85378,20191039006,精神病学,专业必修,1.5,0,章军建,第二临床学院,,
350,85377,20191039044,临床外科学,专业必修,3.5,0,钱群,第二临床学院,,
351,85376,20191039035,临床妇产科学,专业必修,2.5,0,张元珍,第二临床学院,,
352,85375,20191039032,临床儿科学,专业必修,2.5,0,赵东赤,第二临床学院,,
373,85354,20191024088,管理与市场开发实习,专业必修,1.5,0,徐亚明,测绘学院,,
374,85353,20191024078,专业实习,专业必修,2.5,0,黄声享,测绘学院,,
375,85352,20191024060,UNIX/LINUX操作系统,专业必修,2.0,0,邹贤才,测绘学院,,
419,85308,20191016444,水利水电工程管理,专业必修,3.0,0,申明亮,水利水电学院,,
432,85295,20191016696,新能源开发与利用,专业选修,1.0,0,李进平,水利水电学院,,
433,85294,20191016686,道路桥梁工程,专业选修,1.0,0,佘成学,水利水电学院,,
434,85293,20191019046,建筑专题设计,专业必修,3.0,0,张霞,城市设计学院,,
435,85292,20191019006,建筑设备,专业选修,2.0,0,周曾,城市设计学院,,
437,85290,20183039357,毕业考试,专业必修,0.5,0,万静,第二临床学院,,
438,85289,ck20171039001,临床儿科学,专业必修,2.5,0,赵东赤,第二临床学院,,
439,85288,20171039065,临床外科学,专业必修,3.5,0,刘志苏,第二临床学院,,
440,85287,20191027009,临床药物治疗学,专业选修,2.0,0,艾时斌,药学院,,
441,85286,20191016695,新能源开发与利用,专业选修,1.0,0,李进平,水利水电学院,,
442,85285,20191016684,水利水电工程管理,专业必修,3.0,0,肖宜,水利水电学院,,
443,85284,20191016391,移民规划,专业选修,1.0,0,邱元锋,水利水电学院,,
444,85283,20191016380,水环境与水生态,专业选修,1.5,0,常剑波,水利水电学院,,
445,85282,20191017011,核电站仪表与控制,专业选修,2.5,0,郭爱文,电气与自动化学院,,
447,85280,20191032007,专业实习,专业必修,3.0,0,朱维笳,艺术学院,,
448,85279,20191032004,实验剧目排练,专业选修,4.0,0,朱维笳,艺术学院,,
449,85278,20183032773,艺术实践,专业必修,2.0,36,王珊,艺术学院,表演,
452,85275,20191014452,电子地图与位置服务,专业必修,2.0,0,安家春,资源与环境科学学院,,
453,85274,20191014082,专业英语阅读与写作,专业选修,2.0,0,黄丽娜,资源与环境科学学院,,
458,85269,20191024065,测绘法律法规与项目管理,专业选修,2.0,0,徐亚明,测绘学院,,
459,85268,20191024017,不动产测量与管理,专业选修,1.0,0,康雄华,测绘学院,,
462,85265,20191018023,大型工程施工机械化,专业选修,2.0,0,夏大勇,动力与机械学院,,
463,85264,20191018059,精密加工与特种加工,专业选修,1.5,0,周圣军,动力与机械学院,,
464,85263,20191018058,数控技术,专业必修,2.0,0,曾莎莎,动力与机械学院,,
465,85262,20191018063,工业机器人,专业必修,2.0,0,肖华,动力与机械学院,,
466,85261,20191018065,专业综合课程设计,专业必修,1.0,0,张志强,动力与机械学院,,
467,85260,20191018064,模具设计与制造,专业选修,2.0,0,翁晓红,动力与机械学院,,
468,85259,20191014014,WebGIS原理与方法,专业必修,2.0,0,陈玉敏,资源与环境科学学院,,
469,85258,20191014056,GIS设计与应用,专业必修,2.0,0,任福,资源与环境科学学院,,
470,85257,20191014086,电子地图与位置服务,专业必修,2.0,0,李连营,资源与环境科学学院,,
471,85256,20191014100,地理信息系统课程设计,专业必修,1.0,0,程雄,资源与环境科学学院,,
473,85254,20191003124,视听媒介批评,专业必修,2.0,0,彭彪,新闻与传播学院,,
474,85253,20191003122,影视创意经济,专业选修,2.0,0,刘建明,新闻与传播学院,,
484,85243,20182038518,儿科实习,专业必修,3.0,0,黄星原,第一临床学院,,
485,85242,20182038514,妇产科实习,专业必修,4.0,0,杨菁,第一临床学院,,
486,85241,20182038505,内科实习,专业必修,7.0,0,江洪,第一临床学院,,
488,85239,20191019044,设计管理,专业必修,2.0,0,林丰,城市设计学院,,
489,85238,20191019043,快题设计（3）,专业必修,2.0,0,毛佳,城市设计学院,,
490,85237,20191019031,家具设计,专业必修,2.0,0,姜敏,城市设计学院,,
491,85236,20191019089,设计实践（设计竞赛）,专业必修,1.0,0,胡凯,城市设计学院,,
497,85230,20191002968,20世纪俄罗斯文学史,专业选修,2.0,0,乐音,外国语言文学学院,,
498,85229,20191012110,综合化学实验,专业必修,4.0,0,刘芝兰,化学与分子科学学院,,
502,85225,20191066041,临床实习,专业必修,6.0,0,燕虹,健康学院,,
513,85214,20191019012,城市设计,专业必修,3.0,0,铃木隆之,城市设计学院,,
514,85213,20191020038,建筑施工,专业选修,2.0,0,陈悦华,土木建筑工程学院,,
515,85212,20191019088,城市设计方法,专业选修,1.0,0,Penny Lewis,城市设计学院,,
516,85211,20191019079,建筑设计（9）,专业必修,3.0,0,Penny Lewis,城市设计学院,,
517,85210,20191019033,室内设计原理,专业选修,1.0,0,任亚鹏,城市设计学院,,
518,85209,20191019009,建筑设备,专业选修,2.0,0,庞辉,城市设计学院,,
519,85208,20191019015,建筑师业务,专业选修,1.0,0,兰兵,城市设计学院,,
525,85202,20183057003,大学物理C,公共必修,4.0,72,艾志伟,公共物理教学,物理重修班,
661,85066,20183057002,大学物理B（上）,公共必修,3.0,54,王平,公共物理教学,物理重修班,
681,85046,20191011775,综合实验,专业必修,1.0,0,张振宇,物理科学与技术学院,,
696,85031,20191024050,GNSS原理及其应用,专业必修,3.0,0,魏二虎,测绘学院,,
890,84837,20191045041,云计算及安全,专业选修,2.0,0,沈志东,国家网络安全学院,,
898,84829,20191011982,物理实验3,专业必修,2.0,0,王豪,物理科学与技术学院,,
901,84826,20191013081,病毒学,专业选修,3.0,0,陈明周,生命科学学院,,
902,84825,20191013054,植物生理学,专业选修,2.0,0,李家儒,生命科学学院,,
903,84824,20191013117,免疫学实验,专业选修,1.0,0,郭明雄,生命科学学院,,
904,84823,20191013110,植物生理学实验,专业选修,1.0,0,李家儒,生命科学学院,,
905,84822,20191013104,植物发育生物学实验,专业选修,2.0,0,张蕾,生命科学学院,,
906,84821,20191013063,生态学,专业选修,2.0,0,吴中华,生命科学学院,,
908,84819,20191017051,高电压工程,专业必修,2.0,0,曾福平,电气与自动化学院,,
911,84816,20191005167,电子商务,专业选修,1.0,0,廖以臣,经济与管理学院,,
913,84814,20191031731,汉语作为第二语言习得的偏误分析,专业选修,2.0,0,欧阳晓芳,文学院,,
914,84813,20191031035,中国现代文学名家专题,专业选修,2.0,0,荣光启,文学院,,
915,84812,20191014105,环境科学综合实习,专业必修,1.0,0,施晓文,资源与环境科学学院,,
916,84811,20191014016,绿色化学与技术,专业选修,2.0,0,李进军,资源与环境科学学院,,
926,84801,20191027008,药学研究进展,专业必修,1.0,0,陈子林,药学院,,
927,84800,20191017682,高电压综合试验与实践（2）,专业必修,0.5,0,鲁海亮,电气与自动化学院,,
931,84796,20191002043,德语语言学导论,专业选修,2.0,0,张申威,外国语言文学学院,,
932,84795,20191002042,德语国家与国情,专业选修,2.0,0,德语外教,外国语言文学学院,,
933,84794,20191002041,翻译理论与技巧（2）,专业选修,2.0,0,徐琼星,外国语言文学学院,,
934,84793,20191002038,高级视听（3）,专业选修,2.0,0,高中杭,外国语言文学学院,,
935,84792,20191002037,高级德语（3）,专业必修,4.0,0,徐琼星,外国语言文学学院,,
940,84787,20191061441,毕业实习,专业必修,4.0,0,王德福,社会学系,,
943,84784,20191010317,数学物理方程,专业必修,4.0,0,赵会江,数学与统计学院,,
944,84783,20191010314,宏观经济学,专业选修,3.0,0,蔡东汉,数学与统计学院,,
946,84781,20191018115,发电厂工程材料,专业选修,2.0,0,杨兵,动力与机械学院,,
947,84780,20191018113,传热学,专业必修,3.5,0,张新生,动力与机械学院,,
948,84779,20191018117,多尺度建模与仿真（全英文）,专业必修,2.0,0,赵福云,动力与机械学院,,
949,84778,20191018114,测试技术,专业必修,2.0,0,洪冶,动力与机械学院,,
950,84777,20191011295,量子力学基础,专业选修,2.5,0,石瑛,物理科学与技术学院,,
951,84776,20191018112,工程热力学,专业必修,3.5,0,樊天竞,动力与机械学院,,
952,84775,20191018111,计算机辅助设计,专业必修,2.0,0,袁泽虎,动力与机械学院,,
953,84774,20191021092,存储技术,专业选修,2.0,0,龚奕利,计算机学院,,
956,84771,20191014114,城市调查与分析实习,专业必修,1.0,0,周晓艳,资源与环境科学学院,,
957,84770,20191014099,地理信息系统课程设计,专业必修,1.0,0,程雄,资源与环境科学学院,,
959,84768,20191018074,水处理专业综合实验,专业必修,0.5,0,曾玉彬,动力与机械学院,,
960,84767,20191018075,仪表与程控专业综合实验,专业必修,0.5,0,杨万生,动力与机械学院,,
961,84766,20191018077,分析监测综合实验,专业必修,0.5,0,杜富滢,动力与机械学院,,
962,84765,20191018073,能源材料导论,专业选修,1.0,0,黄荣华,动力与机械学院,,
964,84763,20191038037,精神病学,专业必修,1.5,0,王高华,第一临床学院,,
965,84762,20191038019,临床儿科学,专业必修,2.5,0,黄星原,第一临床学院,,
966,84761,20191038044,卫生法规,专业选修,1.0,0,万军,第一临床学院,,
967,84760,20191038042,医学伦理学,专业必修,1.0,0,董卫国,第一临床学院,,
968,84759,20191038040,急诊医学,专业必修,1.0,0,魏捷,第一临床学院,,
969,84758,20191038012,临床妇产科学,专业必修,2.5,0,杨菁,第一临床学院,,
970,84757,20191038005,临床外科学,专业必修,3.5,0,刘修恒,第一临床学院,,
972,84755,20191003121,国际关系与新闻传播,专业选修,2.0,0,林婕,新闻与传播学院,,
973,84754,20191003119,西方新闻媒介,专业选修,2.0,0,侯晓艳,新闻与传播学院,,
974,84753,20191002942,汉日翻译,专业必修,2.0,0,林林,外国语言文学学院,,
975,84752,20191002941,中高级日语（3）,专业必修,4.0,0,夏晶,外国语言文学学院,,
976,84751,20191017777,电气工程基础（上）,专业必修,3.0,0,乔卉,电气与自动化学院,,
977,84750,20191027041,药理学实验,专业必修,1.5,0,丁虹,药学院,,
979,84748,20191032005,现代舞,专业选修,2.0,0,吴捷功,艺术学院,,
980,84747,20191032002,独幕剧,专业选修,2.0,0,万松玲,艺术学院,,
981,84746,20191032001,爵士舞,专业选修,2.0,0,王珊,艺术学院,,
982,84745,20191032003,剧目排练（3）,专业选修,2.0,0,万松玲,艺术学院,,
986,84741,20191027016,制药工程基础,专业选修,2.0,0,台万一,药学院,,
988,84739,20191012038,高分子化学,专业选修,2.0,0,张先正,化学与分子科学学院,,
989,84738,20191012032,高分子物理,专业选修,2.0,0,许小娟,化学与分子科学学院,,
990,84737,20191017100,电机学（下）,专业必修,3.0,0,宫金武,电气与自动化学院,,
991,84736,20191017042,高电压工程,专业必修,2.0,0,唐炬,电气与自动化学院,,
992,84735,20191017074,电气工程基础（上）,专业必修,3.0,0,郭晓云,电气与自动化学院,,
995,84732,20191017623,变电站自动化,专业选修,1.5,0,龙志君,电气与自动化学院,,
998,84729,20191012140,分子模拟实验,专业必修,2.0,0,王宝山,化学与分子科学学院,,
1001,84726,20191003110,网络评论,专业选修,1.0,0,张?尹,新闻与传播学院,,
1002,84725,20191003108,数字媒介产品策划,专业选修,2.0,0,洪杰文,新闻与传播学院,,
1003,84724,20191003107,数字媒介工程实践,专业必修,3.0,0,刘丽群,新闻与传播学院,,
1004,84723,20191003106,Web视觉表达实验,专业必修,1.0,0,王朝阳,新闻与传播学院,,
1005,84722,20191003105,网络视觉传播,专业必修,2.0,0,王朝阳,新闻与传播学院,,
1006,84721,20191003104,多媒体创作实验,专业必修,1.0,0,赫爽,新闻与传播学院,,
1007,84720,20191003103,多媒体创作与应用,专业必修,2.0,0,赫爽,新闻与传播学院,,
1013,84714,20191011981,物理实验3,专业必修,2.0,0,张文炳,物理科学与技术学院,,
1014,84713,20191039021,卫生法规,专业选修,1.0,0,程虹,第二临床学院,,
1015,84712,20191039018,急诊医学,专业必修,1.0,0,赵剡,第二临床学院,,
1016,84711,20191039009,医学伦理学,专业必修,1.0,0,万静,第二临床学院,,
1017,84710,20191039004,精神病学,专业必修,1.5,0,章军建,第二临床学院,,
1018,84709,20191039042,临床外科学,专业必修,3.5,0,钱群,第二临床学院,,
1019,84708,20191039033,临床妇产科学,专业必修,2.5,0,张元珍,第二临床学院,,
1020,84707,20191039030,临床儿科学,专业必修,2.5,0,赵东赤,第二临床学院,,
1021,84706,20191012023,材料化学,公共选修,2.0,0,钟振林,化学与分子科学学院,,
1022,84705,20191067089,基因工程实验技术,专业选修,1.0,0,喻红,基础医学院,,
1023,84704,20191067084,医学遗传学,专业选修,1.5,0,常洪,基础医学院,,
1024,84703,20191039298,临床诊断学,专业必修,2.5,0,万静,第二临床学院,,
1025,84702,20191039294,外科学总论,专业必修,2.5,0,袁玉峰,第二临床学院,,
1026,84701,20191055600,口语与听力3,专业必修,3.0,0,游长松,大学英语部,,
1027,84700,20191012022,仪器分析,公共选修,3.0,0,王红,化学与分子科学学院,,
1028,84699,20191066833,流行病学,专业选修,1.0,0,燕虹,健康学院,,
1029,84698,20191005599,金融学专题,专业选修,3.0,0,李?在,经济与管理学院,,
1030,84697,20191031072,汉语史,专业选修,2.0,0,王?雯,文学院,,
1032,84695,20191002017,中法文化比较,专业选修,2.0,0,程静,外国语言文学学院,,
1033,84694,20191002015,法国国情,专业选修,2.0,0,法语外教M,外国语言文学学院,,
1034,84693,20191002999,商务法语,专业选修,2.0,0,法语外教M,外国语言文学学院,,
1035,84692,20191002998,法语写作（1）,专业选修,2.0,0,法语外教M,外国语言文学学院,,
1036,84691,20191002997,法国报刊阅读（2）,专业选修,2.0,0,法语外教M,外国语言文学学院,,
1037,84690,20191002994,中级法语（1）,专业必修,6.0,0,赵鸣,外国语言文学学院,,
1041,84686,20191004191,毕业实习,专业必修,4.0,0,程齐凯,信息管理学院,,
1056,84671,20191012143,分子模拟实验,专业必修,2.0,0,侯华,化学与分子科学学院,,
1057,84670,20191012090,仪器分析实验,专业必修,2.0,0,陈贝贝,化学与分子科学学院,,
1068,84659,20191014019,燃烧与污染,专业选修,2.0,0,王祖武,资源与环境科学学院,,
1069,84658,20191014108,环境监测学实验,专业必修,1.0,0,朱华,资源与环境科学学院,,
1070,84657,20191014079,环境监测学,专业必修,2.0,0,朱华,资源与环境科学学院,,
1071,84656,20191014039,环境工程CAD,专业选修,2.0,0,毛旭辉,资源与环境科学学院,,
1072,84655,20191014036,胶凝材料学,专业选修,2.0,0,侯浩波,资源与环境科学学院,,
1073,84654,20191018155,发电厂动力工程,专业选修,2.0,0,喻红梅,动力与机械学院,,
1074,84653,20191014088,物理性污染与控制,专业选修,2.0,0,胡将军,资源与环境科学学院,,
1075,84652,20191014038,固体废物处理与处置,专业必修,3.0,0,周?,资源与环境科学学院,,
1076,84651,20191014037,水污染控制工程,专业必修,4.0,0,王红萍,资源与环境科学学院,,
1077,84650,20191014075,大气环境化学,专业选修,2.0,0,成海容,资源与环境科学学院,,
1078,84649,20191020032,工程经济与企业管理,专业选修,2.5,0,汪洋,土木建筑工程学院,,
1079,84648,20191020741,混凝土结构基本原理课程设计,专业必修,0.5,0,刘素梅,土木建筑工程学院,,
1080,84647,20191020075,混凝土结构基本原理（双语）,专业必修,4.0,0,徐礼华,土木建筑工程学院,,
1081,84646,20191020071,钢结构原理,专业必修,2.5,0,郭耀杰,土木建筑工程学院,,
1093,84634,20191011988,物理实验3,专业必修,2.0,0,王豪,物理科学与技术学院,,
1094,84633,20191011977,半导体器件物理,专业选修,3.0,0,方国家,物理科学与技术学院,,
1754,83973,20191018490,发电厂动力工程,公共选修,1.0,0,余艳芝,动力与机械学院,,
1755,83972,20191017079,企业管理概论,公共选修,1.0,0,李蕊,电气与自动化学院,,
1761,83966,20191040250,健身气功（初级）,公共必修,1.0,0,陈文英,体育部,,
2558,83169,20191040708,篮球（初级）,公共必修,1.0,0,廖敏跃,体育部,,
2731,82996,20191040283,网球（初级）,公共必修,1.0,0,邱闻勇,体育部,,
2732,82995,20191040623,足球（初级）,公共必修,1.0,0,郁文,体育部,,
2733,82994,20191040766,太极拳（初级）,公共必修,1.0,0,许少峰,体育部,,
2734,82993,20191016419,流体力学实验,公共必修,0.5,0,刘士和,水利水电学院,,
2735,82992,20191016410,流体力学B,公共必修,4.0,0,刘士和,水利水电学院,,
2736,82991,20191020109,实验力学,专业必修,2.0,0,何勇,土木建筑工程学院,,
2737,82990,20191020147,计算机辅助设计,专业选修,2.0,0,周艳国,土木建筑工程学院,,
2738,82989,20191020144,连续介质力学基础（专业外语）,专业选修,2.0,0,张作启,土木建筑工程学院,,
2739,82988,20191020137,振动力学,专业必修,3.0,0,屈文忠,土木建筑工程学院,,
2740,82987,20191020133,文献检索与科技写作,公共选修,1.0,0,刘辉,土木建筑工程学院,,
2741,82986,20191020112,弹性力学,公共必修,4.0,0,胡衡,土木建筑工程学院,,
2742,82985,20191020111,振动测试,专业必修,0.5,0,何勇,土木建筑工程学院,,
2743,82984,20191020110,实验力学实验,专业必修,0.5,0,何勇,土木建筑工程学院,,
2744,82983,20191040663,定向越野（初级）,公共必修,1.0,0,张力,体育部,,
2745,82982,20191034033,薪酬管理,专业选修,2.0,0,徐嘉,政治与公共管理学院,,
2746,82981,20191034024,非政府组织管理,专业选修,2.0,0,姚强,政治与公共管理学院,,
2747,82980,20191034017,公共组织财务管理,专业选修,3.0,0,黄景驰,政治与公共管理学院,,
2748,82979,20191002202,日语（2）,公共必修,3.0,0,何国晖,外国语言文学学院,,
2749,82978,20191017091,数字信号处理,专业选修,1.5,0,刘晓莉,电气与自动化学院,,
2750,82977,20191017701,脉冲功率基础,专业选修,1.5,0,张亚东,电气与自动化学院,,
2751,82976,20191040827,乒乓球（初级）,公共必修,1.0,0,汪杰,体育部,,
2752,82975,20191040709,排球（初级）,公共必修,1.0,0,李平斌,体育部,,
2753,82974,20191040720,乒乓球（初级）,公共必修,1.0,0,余保星,体育部,,
2754,82973,20191011893,电子线路实验,专业选修,2.0,0,朱俊,物理科学与技术学院,,
2755,82972,20191003428,数字营销前沿研究-腾讯互娱市场体系实战解析,专业选修,1.0,0,洪杰文,新闻与传播学院,,
2756,82971,20191055175,英语演讲与辩论,公共必修,1.5,0,赵玲,大学英语部,,
2757,82970,20191017108,工程电磁场及高压电器综合实验,专业必修,0.5,0,李晓萍,电气与自动化学院,,
2758,82969,20191040759,篮球（初级）,公共必修,1.0,0,胡剑波,体育部,,
2759,82968,20191040759,篮球（初级）,公共必修,1.0,0,胡剑波,体育部,,
2760,82967,20191040216,网球（初级）,公共必修,1.0,0,柳景华,体育部,,
2761,82966,20191005164,物流管理,专业选修,2.0,0,冯华,经济与管理学院,,
2762,82965,20191005163,创新管理,专业选修,2.0,0,刘学元,经济与管理学院,,
2763,82964,20191005160,企业战略管理,专业必修,3.0,0,吴先明,经济与管理学院,,
2764,82963,20191005159,人力资源管理,专业选修,2.0,0,余泽忠,经济与管理学院,,
2765,82962,20191040763,篮球（初级）,公共必修,1.0,0,胡剑波,体育部,,
2766,82961,20191040203,篮球（初级）,公共必修,1.0,0,潘健,体育部,,
2767,82960,20191011980,原子分子物理导论,专业选修,1.0,0,王谨,物理科学与技术学院,,
2768,82959,20191040664,太极拳（初级）,公共必修,1.0,0,刘涛,体育部,,
2769,82958,20191040661,瑜伽（初级）,公共必修,1.0,0,李群,体育部,,
2770,82957,20191040695,足球（初级）,公共必修,1.0,0,胡晓华,体育部,,
2771,82956,20191040247,乒乓球（初级）,公共必修,1.0,0,,体育部,,
2772,82955,20191033968,科学哲学,专业选修,4.0,0,Peter William Finocc,哲学学院,,
2773,82954,20191040875,健身与塑形（初级）,公共必修,1.0,0,余俊明,体育部,,
2774,82953,20191005182,数据统计分析方法,专业必修,2.0,0,刘林青,经济与管理学院,,
2775,82952,20191029243,田野考古实习,专业必修,15.0,0,余西云,历史学院,,
2776,82951,20191056007,动态优化,专业选修,3.0,0,王艳,公共数学教学,,
2777,82950,20191040198,乒乓球（初级）,公共必修,1.0,0,李世想,体育部,,
2778,82949,20191055183,英语演讲与辩论,公共必修,1.5,0,谢晓梅,大学英语部,,
2779,82948,20191040605,足球（初级）,公共必修,1.0,0,余爱斌,体育部,,
2780,82947,20191029252,中日近代化比较,公共选修,2.0,0,李少军,历史学院,,
2781,82946,20191040333,综合体育（初级）,公共必修,1.0,0,冯培,体育部,,
2782,82945,20191040278,棒垒球（初级）,公共必修,1.0,0,李海冰,体育部,,
2783,82944,20191013108,微生物技术实验,专业选修,1.5,0,黄玉屏,生命科学学院,,
2784,82943,20191013124,科学研究训练,专业选修,2.0,0,谢志雄,生命科学学院,,
2785,82942,20191055239,英国社会与文化,公共必修,1.5,0,史霁,大学英语部,,
2786,82941,20191023769,Practical English Writing,公共选修,2.0,0,毛飞跃,遥感信息工程学院,,
2787,82940,20191040637,网球（初级）,公共必修,1.0,0,李靖,体育部,,
2788,82939,20191040660,网球（初级）,公共必修,1.0,0,李靖,体育部,,
2789,82938,20191031005,现代汉语词汇学,专业选修,2.0,0,赵世举,文学院,,
2790,82937,20191005130,金融市场学综合实验,专业选修,1.0,0,周洋,经济与管理学院,,
2791,82936,20191005127,金融工程实验,专业选修,1.0,0,宋凌峰,经济与管理学院,,
2792,82935,20191005126,金融工程学,专业选修,2.0,0,宋凌峰,经济与管理学院,,
2793,82934,20191005122,金融市场学,专业选修,2.0,0,周洋,经济与管理学院,,
2794,82933,20191011983,物理实验3,专业必修,2.0,0,林伟华,物理科学与技术学院,,
2795,82932,20191011975,半导体物理,专业必修,2.0,0,黄启俊,物理科学与技术学院,,
2796,82931,20191011969,材料科学基础,专业必修,4.0,0,陈万平,物理科学与技术学院,,
2797,82930,20191011962,量子力学,专业必修,4.0,0,杨柏峰,物理科学与技术学院,,
2798,82929,20191055245,英国社会与文化,公共必修,1.5,0,史霁,大学英语部,,
2799,82928,20191040280,棒垒球（初级）,公共必修,1.0,0,成慧君,体育部,,
2800,82927,20191018025,材料成型原理,专业必修,3.0,0,罗斌,动力与机械学院,,
2801,82926,20191018026,冶金传输原理,专业选修,2.0,0,郭嘉琳,动力与机械学院,,
2802,82925,20191018028,金属腐蚀与防护,专业选修,2.0,0,夏力,动力与机械学院,,
2803,82924,20191018029,表面工程学,专业选修,2.0,0,杨兵,动力与机械学院,,
2804,82923,20191018032,金属材料热处理,专业必修,1.5,0,王志武,动力与机械学院,,
2805,82922,20191018031,材料测试技术,专业必修,1.5,0,薛龙建,动力与机械学院,,
2806,82921,20191018027,纳米科学与技术,专业选修,1.0,0,雷燕,动力与机械学院,,
2807,82920,20191018036,热处理综合实验,专业必修,0.5,0,刘毛萍,动力与机械学院,,
2808,82919,20191018033,材料成型方法操作实习,专业必修,0.5,0,李正刚,动力与机械学院,,
2809,82918,20191018035,材料测试技术实习,专业必修,0.5,0,阮学锋,动力与机械学院,,
2810,82917,20191018034,机械零件课程设计,专业必修,1.0,0,郭菁,动力与机械学院,,
2811,82916,20191018024,机械设计基础,专业必修,3.0,0,郭菁,动力与机械学院,,
2812,82915,20191040866,羽毛球（初级）,公共必修,1.0,0,张葳,体育部,,
2813,82914,20191045031,算法设计与分析,专业选修,3.0,0,余荣威,国家网络安全学院,,
2814,82913,20191040751,羽毛球（初级）,公共必修,1.0,0,张葳,体育部,,
2815,82912,20191045143,主流操作系统安全技术,专业选修,2.0,0,王鹃,国家网络安全学院,,
2816,82911,20191040861,健美操（初级）,公共必修,1.0,0,黄静,体育部,,
2817,82910,20191002030,高级视听（1）,专业选修,2.0,0,高中杭,外国语言文学学院,,
2818,82909,20191002028,德语文学选读（1）,专业必修,2.0,0,谢芳,外国语言文学学院,,
2819,82908,20191002027,德语文学（1）,专业必修,2.0,0,谢芳,外国语言文学学院,,
2820,82907,20191002026,高级德语（1）,专业必修,4.0,0,德语外教,外国语言文学学院,,
2821,82906,20191002025,德语写作（2）,专业必修,2.0,0,德语外教,外国语言文学学院,,
2822,82905,20191067013,机能学实验（二）,专业必修,1.5,0,汪晖,基础医学院,,
2823,82904,20191067012,病原生物学,专业必修,5.0,0,朱帆,基础医学院,,
2824,82903,20191067010,药理学,专业必修,4.0,0,杨静,基础医学院,,
2825,82902,20191067005,病理生理学,专业必修,2.0,0,汪长华,基础医学院,,
2826,82901,20191067011,医学伦理学,专业必修,1.0,0,王传中,基础医学院,,
2827,82900,20191067004,再生医学,专业选修,1.0,0,陈云,基础医学院,,
2828,82899,20191067003,发育生物学,专业选修,2.0,0,汪琳,基础医学院,,
2829,82898,20191067002,神经生物学,专业选修,2.0,0,符辉,基础医学院,,
2830,82897,20191061859,社会统计学（含概率论基础）（下）,专业必修,3.0,0,龚为纲,社会学系,,
2831,82896,20191040635,乒乓球（初级）,公共必修,1.0,0,刘振清,体育部,,
2832,82895,20191040597,篮球（初级）,公共必修,1.0,0,殷涛,体育部,,
2833,82894,20191040809,武术（初级）,公共必修,1.0,0,王石龙,体育部,,
2834,82893,20191040754,流行舞蹈（初级）,公共必修,1.0,0,肖娟,体育部,,
2835,82892,20191040625,羽毛球（初级）,公共必修,1.0,0,姚志坚,体育部,,
2836,82891,20191040199,网球（初级）,公共必修,1.0,0,陈浩,体育部,,
2837,82890,20191055097,英语演讲与辩论,公共必修,1.5,0,谢晓梅,大学英语部,,
